0,1,2,3,4,5,6,7,8,9
0.17836307,0.18748856,0.23240136,0.18038341,0.42599118,0.42953378,0.055626035,0.41968703,0.24383673,0.18304197
0.17836307,0.18748856,0.23240136,0.18038341,0.42599118,0.42953378,0.055626035,0.41968703,0.24383673,0.18304197
0.17836307,0.18748856,0.23240136,0.18038341,0.42599118,0.42953378,0.055626035,0.41968703,0.24383673,0.18304197
0.17836307,0.18748856,0.23240136,0.18038341,0.42599118,0.42953378,0.055626035,0.41968703,0.24383673,0.18304197
0.17836307,0.18748856,0.23240136,0.18038341,0.42599118,0.42953378,0.055626035,0.41968703,0.24383673,0.18304197
0.17836307,0.18748856,0.23240136,0.18038341,0.42599118,0.42953378,0.055626035,0.41968703,0.24383673,0.18304197
0.34875727,0.16268487,0.19023678,0.34766105,0.3820725,0.38507223,0.033010487,0.48514423,0.3332093,0.13049676
0.34875727,0.16268487,0.19023678,0.34766105,0.3820725,0.38507223,0.033010487,0.48514423,0.3332093,0.13049676
0.35386345,0.19730853,0.19023678,0.34968984,0.3820725,0.38507223,0.06007447,0.48514423,0.40001857,0.13434435
0.3845152,0.19730853,0.20337251,0.3810102,0.44661,0.4504177,0.060999013,0.56955993,0.4074639,0.13434435
0.3845152,0.19730853,0.20337251,0.3810102,0.48388153,0.48760745,0.07373977,0.5796986,0.4074639,0.13434435
0.12799025,0.031988945,0.0324404,0.12828608,0.23456922,0.23739208,0.0139074465,0.18384032,0.24725649,0.15075718
0.12799025,0.031988945,0.0324404,0.12828608,0.23456922,0.23739208,0.0139074465,0.18384032,0.24725649,0.15075718
0.12799025,0.031988945,0.0324404,0.12828608,0.1942979,0.18472913,0.0139074465,0.17531201,0.24725649,0.15075718
0.12799025,0.031988945,0.0324404,0.12828608,0.1942979,0.18472913,0.0139074465,0.17531201,0.24725649,0.15075718
1.2263384,0.9195393,0.9020169,1.2231413,1.450778,1.4569101,0.45838362,1.4418455,1.1189423,0.7206227
1.5124972,1.1384727,1.1844674,1.5106146,1.8142247,1.8210846,0.6538095,1.8341111,1.3370801,0.90185004
1.7032678,1.2594752,1.3381906,1.7016445,2.0236382,2.0305777,0.68381536,2.044232,1.4876256,0.9476968
1.7032678,1.2776308,1.3381906,1.7016445,2.0236382,2.0305777,0.7460419,2.044232,1.4876256,1.0137358
1.7032678,1.2776308,1.3381906,1.7016445,2.0377622,2.0445862,0.7460419,2.044232,1.4876256,1.0137358
0.41661066,0.23217401,0.17886163,0.41468418,0.48932067,0.49404073,0.08938615,0.566753,0.3495241,0.02216442
0.41661066,0.23217401,0.17886163,0.41468418,0.48932067,0.49404073,0.08938615,0.566753,0.3495241,0.02216442
0.41661066,0.23217401,0.17886163,0.41468418,0.48932067,0.49404073,0.08938615,0.566753,0.3495241,0.02216442
0.41661066,0.23217401,0.17886163,0.41468418,0.48932067,0.49404073,0.08938615,0.566753,0.3495241,0.02216442
0.41661066,0.23217401,0.17886163,0.41468418,0.48932067,0.49404073,0.08938615,0.566753,0.3495241,0.02216442
0.25238428,0.07705876,0.1130864,0.24932723,0.27218953,0.27509266,0.012544173,0.36595336,0.25946257,0.09964587
0.25238428,0.07705876,0.1130864,0.24932723,0.27218953,0.27509266,0.012544173,0.36595336,0.25946257,0.10973951
0.12138381,0.040515576,0.10097628,0.11866139,0.16640292,0.1666692,0.012544173,0.2791376,0.25946257,0.10973951
0.12138381,0.040515576,0.10097628,0.11866139,0.16640292,0.1666692,0.02002102,0.2791376,0.25946257,0.10973951
0.12138381,0.040515576,0.10097628,0.11866139,0.16640292,0.1666692,0.02002102,0.2791376,0.25946257,0.10973951
0.12138381,0.040515576,0.10097628,0.11866139,0.16640292,0.1666692,0.02002102,0.2791376,0.2596481,0.12216598
1.6511121,1.221577,1.2100129,1.6495717,1.9899191,1.997386,0.5652071,1.9410464,1.4298818,0.91351444
1.8177313,1.3393989,1.4263271,1.8160113,2.1258645,2.1330955,0.7624156,2.1528628,1.5663072,1.0546817
0.06189627,0.06083365,0.13372579,0.059351787,0.20110786,0.19433594,0.015073583,0.13176449,0.20818196,0.10876677
0.06189627,0.06083365,0.13372579,0.059351787,0.20110786,0.19433594,0.015073583,0.13176449,0.20818196,0.10876677
0.06189627,0.06083365,0.13372579,0.059351787,0.20110786,0.19433594,0.015073583,0.13176449,0.20818196,0.10876677
0.06189627,0.06083365,0.13332582,0.059351787,0.20110786,0.19433594,0.015073583,0.13176449,0.20818196,0.097154476
0.06818302,0.056800354,0.06389585,0.06368281,0.1711201,0.17621745,0.014725545,0.14255053,0.18963112,0.10071977
0.06818302,0.056800354,0.06389585,0.06368281,0.1711201,0.17621745,0.014725545,0.14255053,0.18963112,0.10071977
0.06818302,0.056800354,0.06389585,0.06368281,0.1711201,0.17621745,0.014725545,0.14255053,0.18963112,0.10071977
0.06818302,0.056800354,0.06389585,0.06368281,0.1711201,0.17621745,0.014725545,0.14255053,0.18963112,0.10071977
0.06818302,0.056800354,0.06389585,0.06368281,0.1711201,0.17621745,0.014725545,0.14255053,0.18963112,0.10071977
0.42592177,0.17172165,0.2037046,0.42015773,0.58490145,0.5762422,0.047793604,0.33069223,0.40938503,0.16260609
